CAND_ID,CAND_NAME,state,lname,fname,minitial,bioguide_id,thomas_id,NodeID,Party,Party_encode
H2ID02018,"STALLINGS, RICHARD HOWARD",ID,STALLINGS,RICHARD,HOWARD,,1097,1751,,
S2ID00012,"STALLINGS, RICHARD H",ID,STALLINGS,RICHARD,H,,1097,1751,,
H6MN07148,"STANGELAND, ARLAN",MN,STANGELAND,ARLAN,,,1098,1752,,
H6MN07148,"STANGELAND, ARLAN HON",MN,STANGELAND,ARLAN,HON,,1098,1752,,
H6MN07148,"STANGELAND, ARLAN I",MN,STANGELAND,ARLAN,I,,1098,1752,,
H6OH11020,"STANTON, JOHN WILLIAM",OH,STANTON,JOHN,WILLIAM,,1099,1753,,
H6CA09023,"STARK, FORTNEY",CA,STARK,FORTNEY,,,1101,1754,,
H6CA09023,"STARK, FORTNEY H JR",CA,STARK,FORTNEY,H JR,,1101,1754,,
H6CA09023,"STARK, FORTNEY HILLMAN JR",CA,STARK,FORTNEY,HILLMAN JR,,1101,1754,,
H6CA09023,"STARK, FORTNEY P.",CA,STARK,FORTNEY,P.,,1101,1754,,
H6CA09023,"STARK, FORTNEY PETE",CA,STARK,FORTNEY,PETE,,1101,1754,,
H6CA09023,"STARK, PETE",CA,STARK,PETE,,,1101,1754,,
H8WV03014,"STATON, DAVID MICHAEL",WV,STATON,DAVID,MICHAEL,,1102,1755,,
H8FL06056,"STEARNS, CLIFF",FL,STEARNS,CLIFF,,,1103,1756,,
H8FL06056,"STEARNS, CLIFFORD B",FL,STEARNS,CLIFFORD,B,,1103,1756,,
H8FL06056,"STEARNS, CLIFFORD B.",FL,STEARNS,CLIFFORD,B.,,1103,1756,,
H8FL06056,"STEARNS, CLIFFORD BUNDY",FL,STEARNS,CLIFFORD,BUNDY,,1103,1756,,
H8TX17081,"STENHOLM, CHARLES",TX,STENHOLM,CHARLES,,,1110,1758,,
H8TX17081,"STENHOLM, CHARLES W",TX,STENHOLM,CHARLES,W,,1110,1758,,
H8TX17081,"STENHOLM, CHARLIE W.",TX,STENHOLM,CHARLIE,W.,,1110,1758,,
H8MS04040,"STENNIS, JOHN HAMPTON",MS,STENNIS,JOHN,HAMPTON,,1439,1759,,
S6MS00026,"STENNIS, JOHN C",MS,STENNIS,JOHN,C,,1439,1759,,
S2AK00010,"STEVENS, TED",AK,STEVENS,TED,,,1440,1760,,
S2AK00010,"STEVENS, THEODORE F (TED)",AK,STEVENS,THEODORE,F (TED),,1440,1760,,
H8IL01031,"STEWART, BENNETT W.",IL,STEWART,BENNETT,W.,,1112,1762,,
S0AL00123,"STEWART, FRANK ROSS MRS",AL,STEWART,FRANK,ROSS MRS,,1442,1763,,
S2AL00020,"STEWART, FRANK ROSS MRS",AL,STEWART,FRANK,ROSS MRS,,1442,1763,,
S4AL00067,"STEWART, FRANK ROSS MRS",AL,STEWART,FRANK,ROSS MRS,,1442,1763,,
S6AL00039,"STEWART, FRANK MRS",AL,STEWART,FRANK,MRS,,1442,1763,,
S8AL00043,"STEWART, DONALD WILBUR",AL,STEWART,DONALD,WILBUR,,1442,1763,,
H6MI04048,"STOCKMAN, DAVID ALLEN",MI,STOCKMAN,DAVID,ALLEN,,1113,1764,,
H0TX09077,"STOCKMAN, STEPHEN E",TX,STOCKMAN,STEPHEN,E,,1114,1765,Republican,-1
H0TX09077,"STOCKMAN, STEPHEN ERNEST",TX,STOCKMAN,STEPHEN,ERNEST,,1114,1765,Republican,-1
H0TX09077,"STOCKMAN, STEVE",TX,STOCKMAN,STEVE,,,1114,1765,Republican,-1
H6TX22143,"STOCKMAN, STEVE",TX,STOCKMAN,STEVE,,,1114,1765,Republican,-1
S4TX00524,"STOCKMAN, STEVE",TX,STOCKMAN,STEVE,,,1114,1765,Republican,-1
H6OH21052,"STOKES, LOUIS",OH,STOKES,LOUIS,,,1115,1766,,
S0FL00015,"STONE, RICHARD (DICK)",FL,STONE,RICHARD,(DICK),,1443,1767,,
H4CO03019,"STRANG, MICHAEL L",CO,STRANG,MICHAEL,L,,1116,1768,,
H4CO03019,"STRANG, MICHAEL LATHROP",CO,STRANG,MICHAEL,LATHROP,,1116,1768,,
H6NY28012,"STRATTON, SAMUEL S",NY,STRATTON,SAMUEL,S,,1117,1769,,
H6OH06038,"STRICKLAND, TED",OH,STRICKLAND,TED,,,1118,1770,,
S6OH00254,"STRICKLAND, TED",OH,STRICKLAND,TED,,,1118,1770,,
H6MA12028,"STUDDS, GERRY E",MA,STUDDS,GERRY,E,,1121,1771,,
H6MA12028,"STUDDS, GERRY E HON",MA,STUDDS,GERRY,E HON,,1121,1771,,
H6MA12028,"STUDDS, GERRY EASTMAN",MA,STUDDS,GERRY,EASTMAN,,1121,1771,,
H6AZ03112,"STUMP, BOB",AZ,STUMP,BOB,,,1122,1772,,
H2MI01068,"STUPAK, BART",MI,STUPAK,BART,,,1123,1773,,
